,Date,PMI,NMI,Consumer_sen,building_permits,Unemployment,Non_Farm,Initial_Claims,Continuing_Claims,SnP500,VIX,Net_Export,int_spread,Real_GDP
178,1992-12-31,52.70000000000001,,83.2,1142.0,9506.666666666666,109302.0,361076.92307692306,2954076.923076923,423.6876562500001,14.761093749999997,-47.14,3.7066666666666666,9834.51
179,1993-03-31,54.833333333333336,,87.26666666666665,1127.0,9188.0,109944.0,345000.0,2683000.0,442.75032258064516,13.255322580645162,-55.704,3.24,9850.973
180,1993-06-30,50.333333333333336,,82.46666666666665,1115.3333333333333,9126.666666666666,110537.66666666667,346769.23076923075,2787846.153846154,445.50587301587285,12.973174603174606,-63.187,2.9899999999999998,9908.347
181,1993-09-30,50.56666666666666,,77.4,1218.3333333333333,8802.333333333334,111236.33333333333,344153.8461538461,2802384.6153846155,453.5587500000002,12.117187499999998,-68.354,2.5566666666666666,9955.641
182,1993-12-31,54.26666666666666,,84.03333333333335,1368.3333333333333,8589.666666666666,112010.33333333333,338846.1538461539,2798230.769230769,464.2718750000001,12.421562500000002,-73.449,2.6166666666666667,10091.049
183,1994-03-31,56.46666666666667,,93.0,1333.6666666666667,8561.0,112872.66666666667,348692.3076923077,2748923.076923077,469.2134920634921,13.436190476190475,-80.595,2.8533333333333335,10188.954
184,1994-06-30,58.133333333333326,,92.19999999999999,1381.6666666666667,8057.666666666667,113915.0,347384.6153846154,2736461.5384615385,451.1685483870969,14.512580645161291,-90.572,3.143333333333333,10327.019
185,1994-09-30,58.5,,90.73333333333333,1374.6666666666667,7871.0,114917.66666666667,336692.3076923077,2646538.4615384615,461.1207812499999,12.516249999999998,-96.868,2.846666666666667,10387.382
186,1994-12-31,58.23333333333333,,93.13333333333333,1377.6666666666667,7412.333333333333,115830.66666666667,328214.28571428574,2545928.5714285714,460.00523809523816,15.268730158730158,-101.913,2.67,10506.372
187,1995-03-31,54.86666666666667,,94.33333333333333,1254.0,7238.333333333333,116701.66666666667,337166.6666666667,2522083.3333333335,480.4657142857142,11.992380952380952,-105.329,1.6733333333333331,10543.644
188,1995-06-30,48.03333333333333,,91.66666666666667,1278.3333333333333,7500.666666666667,117134.66666666667,361307.6923076923,2562769.230769231,524.4428571428573,12.190317460317463,-109.492,0.6,10575.1
189,1995-09-30,48.63333333333333,,93.16666666666667,1387.0,7496.333333333333,117629.66666666667,363714.28571428574,2619785.714285714,564.7963492063493,12.472698412698414,-74.444,0.5266666666666667,10665.06
190,1995-12-31,46.26666666666667,,89.8,1424.0,7392.333333333333,118175.33333333333,370692.3076923077,2646461.5384615385,597.1714285714284,12.89968253968254,-69.78,0.17333333333333334,10737.478
191,1996-03-31,46.1,,90.5,1414.6666666666667,7374.0,118682.66666666667,379769.23076923075,2676230.769230769,636.4547619047622,15.398253968253961,-88.795,0.5466666666666666,10817.896
192,1996-06-30,50.666666666666664,,91.5,1449.6666666666667,7311.0,119471.0,348153.8461538461,2587384.6153846155,658.8520634920632,16.368253968253967,-93.709,1.4766666666666666,10998.322
193,1996-09-30,50.800000000000004,,94.89999999999999,1418.3333333333333,7066.0,120208.0,336769.23076923075,2486461.5384615385,660.0979687500004,16.7784375,-114.18,1.4733333333333334,11096.976
194,1996-12-31,52.9,,97.53333333333335,1393.6666666666667,7173.333333333333,120923.0,342461.53846153844,2456538.4615384615,725.8607812500002,17.206249999999997,-88.822,1.0633333333333335,11212.205
195,1997-03-31,53.56666666666666,,99.03333333333335,1421.0,7086.666666666667,121676.0,325846.1538461539,2411461.5384615385,784.7406557377046,19.909180327868857,-108.839,1.2866666666666668,11284.587
196,1997-06-30,54.900000000000006,,103.03333333333335,1412.3333333333333,6775.666666666667,122548.66666666667,325307.6923076923,2307153.846153846,823.4898437499999,19.922968750000003,-85.201,1.1733333333333333,11472.137
197,1997-09-30,55.96666666666667,,105.83333333333333,1461.0,6639.666666666667,123263.0,322538.46153846156,2259923.076923077,929.9443750000002,22.445000000000007,-96.831,0.71,11615.636
198,1997-12-31,55.53333333333333,57.55,104.96666666666665,1474.6666666666667,6412.666666666667,124237.66666666667,312769.23076923075,2221384.6153846155,951.3790624999996,27.121406250000003,-117.014,0.39999999999999997,11715.393
199,1998-03-31,53.199999999999996,55.96666666666667,107.83333333333333,1602.3333333333333,6365.333333333333,124997.33333333333,318615.3846153846,2243076.923076923,1023.0899999999998,21.324590163934424,-135.215,0.06666666666666667,11832.486
200,1998-06-30,50.666666666666664,55.4,106.93333333333332,1550.6666666666667,6066.666666666667,125787.33333333333,319384.6153846154,2173846.153846154,1109.667142857143,21.534285714285723,-162.331,0.09666666666666666,11942.032
201,1998-09-30,49.06666666666666,54.76666666666667,103.5,1613.6666666666667,6246.0,126500.33333333333,316230.76923076925,2241153.846153846,1085.0807812499997,29.75171875,-174.634,-0.33,12091.614
202,1998-12-31,47.9,53.96666666666667,100.2,1711.0,6137.333333333333,127260.33333333333,313923.07692307694,2193692.3076923075,1121.6270312499996,29.537187500000005,-178.663,-0.19000000000000003,12287.0
203,1999-03-31,51.56666666666667,55.1,105.89999999999999,1705.6666666666667,5956.666666666667,128016.33333333333,311384.6153846154,2254307.6923076925,1260.4926229508194,27.252786885245893,-207.731,0.25,12403.293
204,1999-06-30,54.133333333333326,55.833333333333336,106.23333333333333,1647.3333333333333,5917.0,128831.33333333333,301384.6153846154,2214692.3076923075,1329.6433333333339,24.39555555555556,-244.668,0.7933333333333333,12498.694
205,1999-09-30,55.13333333333333,56.26666666666667,105.89999999999999,1634.6666666666667,5926.0,129585.0,293153.8461538461,2179615.3846153845,1341.98671875,23.320625,-275.3,0.79,12662.385
206,1999-12-31,57.70000000000001,55.13333333333333,105.26666666666667,1668.0,5715.666666666667,130471.66666666667,284076.92307692306,2095846.1538461538,1374.09875,22.658281249999998,-295.638,0.8333333333333334,12877.593
207,2000-03-31,55.800000000000004,56.73333333333334,110.13333333333333,1690.0,5766.333333333333,131241.66666666666,285846.1538461539,2111923.076923077,1420.0014285714287,23.15031746031745,-352.106,0.8033333333333333,12924.179
208,2000-06-30,53.1,57.53333333333333,108.76666666666667,1570.6666666666667,5630.0,132018.0,280846.1538461539,2011384.6153846155,1446.5936507936506,24.92396825396826,-358.736,-0.09666666666666666,13160.842
209,2000-09-30,50.70000000000001,56.53333333333334,107.46666666666665,1554.6666666666667,5741.666666666667,132273.0,301928.5714285714,2106785.714285714,1475.9788888888882,19.169047619047625,-387.846,-0.6266666666666667,13178.419
210,2000-12-31,47.03333333333333,56.6,103.93333333333332,1578.0,5602.333333333333,132538.66666666666,328538.46153846156,2218615.3846153845,1366.3103174603175,26.016666666666662,-401.511,-0.9066666666666666,13260.506
211,2001-03-31,42.5,51.20000000000001,92.26666666666667,1671.3333333333333,6084.333333333333,132744.66666666666,367769.23076923075,2496615.3846153845,1273.3290322580647,25.726451612903222,-390.755,-0.5433333333333333,13222.69
212,2001-06-30,42.4,49.13333333333333,91.0,1652.3333333333333,6327.0,132390.66666666666,396230.76923076925,2831000.0,1234.2503174603173,23.92380952380954,-358.543,0.9433333333333334,13299.984
213,2001-09-30,45.333333333333336,48.166666666666664,88.56666666666666,1592.6666666666667,6922.333333333333,131992.0,412230.76923076925,3147230.769230769,1153.7066101694916,25.38033898305084,-365.976,1.4833333333333334,13244.784
214,2001-12-31,43.4,49.0,85.13333333333334,1632.3333333333333,7985.0,131192.66666666666,445923.07692307694,3591000.0,1115.3676562499998,27.909999999999993,-356.441,2.6366666666666667,13280.859
215,2002-03-31,50.199999999999996,51.46666666666666,93.13333333333333,1714.3333333333333,8233.666666666666,130768.33333333333,408230.76923076925,3574846.153846154,1132.214833333333,21.36083333333334,-372.592,3.3433333333333337,13397.002
216,2002-06-30,53.03333333333333,53.6,94.10000000000001,1714.3333333333333,8463.666666666666,130647.0,406846.1538461539,3675461.5384615385,1070.1499999999999,21.643125000000005,-415.681,3.35,13478.152
217,2002-09-30,50.333333333333336,51.199999999999996,87.26666666666665,1745.3333333333333,8315.0,130559.33333333333,396153.8461538461,3524692.3076923075,895.4885937499997,35.06843749999999,-432.521,2.52,13538.072
218,2002-12-31,49.699999999999996,51.333333333333336,83.83333333333333,1822.0,8489.0,130571.66666666667,403692.3076923077,3505076.923076923,886.5282812500003,30.726718750000003,-480.814,2.5633333333333335,13559.032
219,2003-03-31,48.79999999999999,51.666666666666664,79.96666666666667,1806.3333333333333,8575.333333333334,130418.66666666667,412384.6153846154,3470000.0,860.760163934426,30.022622950819674,-504.852,2.67,13634.253
220,2003-06-30,48.03333333333333,52.4,89.26666666666667,1837.6666666666667,9021.666666666666,130189.0,427076.92307692306,3686230.769230769,937.994603174603,21.531269841269847,-501.536,2.373333333333333,13751.543
221,2003-09-30,52.199999999999996,58.0,89.3,1937.3333333333333,8942.666666666666,130198.0,402230.76923076925,3596153.846153846,1000.3804687499996,19.320156250000007,-500.763,3.216666666666667,13985.073
222,2003-12-31,57.9,56.166666666666664,91.96666666666665,1972.3333333333333,8541.666666666666,130505.33333333333,367384.6153846154,3376384.6153846155,1056.4525000000003,17.427187500000002,-505.355,3.2900000000000005,14145.645
223,2004-03-31,60.43333333333333,59.166666666666664,98.0,1994.6666666666667,8342.666666666666,130912.0,354769.23076923075,3106538.4615384615,1132.6712903225803,16.658064516129024,-548.966,3.016666666666667,14221.147
224,2004-06-30,60.833333333333336,58.9,93.33333333333333,2080.0,8222.666666666666,131632.66666666666,343846.1538461539,2975692.3076923075,1123.196451612903,16.23016129032258,-608.024,3.59,14329.523
225,2004-09-30,58.6,57.9,95.60000000000001,2069.6666666666665,8017.666666666667,131959.33333333334,340538.46153846156,2892461.5384615385,1103.90828125,15.442187499999996,-636.429,2.8699999999999997,14464.984
226,2004-12-31,56.56666666666666,58.0,93.86666666666667,2086.0,7975.666666666667,132524.66666666666,329692.3076923077,2746461.5384615385,1162.65203125,13.651250000000001,-682.881,2.223333333333333,14609.876
227,2005-03-31,55.833333333333336,58.46666666666667,94.06666666666666,2105.0,7833.666666666667,132987.33333333334,330153.8461538461,2692538.4615384615,1191.9478688524591,12.787049180327864,-674.59,1.8266666666666669,14771.602
228,2005-06-30,51.800000000000004,56.333333333333336,90.2,2137.6666666666665,7615.666666666667,133716.66666666666,325153.8461538461,2597461.5384615385,1181.9740625000006,13.407343750000003,-690.79,1.2166666666666666,14839.782
229,2005-09-30,54.0,58.833333333333336,87.5,2228.3333333333335,7434.666666666667,134453.33333333334,339692.3076923077,2628076.923076923,1224.1743749999996,12.250781249999998,-732.505,0.7533333333333334,14972.054
230,2005-12-31,56.333333333333336,58.699999999999996,82.43333333333334,2169.3333333333335,7432.666666666667,134932.33333333334,329428.5714285714,2715642.8571428573,1230.4682539682537,12.781746031746035,-786.886,0.5100000000000001,15066.597
231,2006-03-31,55.03333333333333,56.93333333333334,88.93333333333334,2157.0,7106.666666666667,135737.66666666666,296083.3333333333,2506583.3333333335,1283.6549999999997,12.042419354838714,-777.158,0.11333333333333334,15267.026
232,2006-06-30,53.63333333333333,56.866666666666674,83.8,1923.3333333333333,7033.666666666667,136258.0,313153.8461538461,2398000.0,1280.8117460317458,14.52873015873016,-780.585,0.16333333333333333,15302.705
